Group;Group_Simple;Order;Common_Name;Dominant_Frequency;Log_Dominant_Frequency;Scientific_Name;Scientific_Name_(Replacement_Species);Frequency;Log_Frequency;Weight;Log_Weight;Environement;Mastication;Congregatory;Group_Size;Log_Group_Size;Chewing_Rate;Log_Chewing_Rate;Ref
Amphibia;Other;Anura;Strawberry Poison Dart Frog;;;Oophaga pumilio;Phyllobates terribilis;6.629126074;0.821456279;0.0028;-2.552841969;Wetland;No;No;2;0.301029996;;;
Aves;Aves;Passeriformes;Black Backed Puffback;2174.853516;3.337430011;Dryoscopus cubla;Dryoscopus gambensis;1.30027673;0.11403579;0.027;-1.56863624;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.04
Aves;Aves;Passeriformes;Black Backed Puffback;2347.119141;3.370535135;Dryoscopus cubla;Dryoscopus gambensis;1.02017644;0.00867529;0.027;-1.56863624;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.05
Aves;Aves;Passeriformes;Black Backed Puffback;2627.050781;3.419468468;Dryoscopus cubla;Dryoscopus gambensis;1.34613089;0.12908729;0.027;-1.56863624;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.06
Aves;Aves;Passeriformes;Black Backed Puffback;2454.785156;3.390013488;Dryoscopus cubla;Dryoscopus gambensis;1.25598453;0.09898429;0.027;-1.56863624;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.07
Aves;Aves;Passeriformes;Black Backed Puffback;2282.519531;3.358414502;Dryoscopus cubla;Dryoscopus gambensis;2.26391327;0.35485979;0.027;-1.56863624;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.08
Aves;Aves;Passeriformes;Black Capped Donacobius;1894.921875;3.277591309;Donacobius atricapilla;Donacobius atricapilla;4.85280433;0.68599278;0.0365;-1.43770714;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.09
Aves;Aves;Passeriformes;Black Capped Donacobius;2820.849609;3.450379933;Donacobius atricapilla;Donacobius atricapilla;3.20165685;0.50537478;0.0365;-1.43770714;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.10
Aves;Aves;Passeriformes;Black Capped Donacobius;2002.587891;3.301591586;Donacobius atricapilla;Donacobius atricapilla;8.7471843;0.94186828;0.0365;-1.43770714;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.11
Aves;Aves;Passeriformes;Black Capped Donacobius;2318.45796;3.365199225;Donacobius atricapilla;Donacobius atricapilla;6.8629017;0.83650778;0.0365;-1.43770714;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.12
Aves;Aves;Passeriformes;Black Capped Donacobius;2476.318359;3.393806478;Donacobius atricapilla;Donacobius atricapilla;7.88340389;0.89671378;0.0365;-1.43770714;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.13
Aves;Aves;Passeriformes;Blue Backed Manakin;2325.585938;3.366532393;Chiroxiphia pareola;Lepidothrix coronata;4.22461154;0.62578678;0.0275;-1.56066731;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.12
Aves;Aves;Passeriformes;Blue Backed Manakin;2217.919922;3.345945862;Chiroxiphia pareola;Lepidothrix coronata;5.38452354;0.73114728;0.0275;-1.56066731;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.13
Aves;Aves;Passeriformes;Blue Backed Manakin;2304.052734;3.362492415;Chiroxiphia pareola;Lepidothrix coronata;4.37359215;0.64083828;0.0275;-1.56066731;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.14
Aves;Aves;Passeriformes;Blue Backed Manakin;2829.45784;3.451703227;Chiroxiphia pareola;Lepidothrix coronata;5.02393811;0.70104428;0.0275;-1.56066731;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.15
Aves;Aves;Passeriformes;Blue Backed Manakin;2605.517578;3.415894007;Chiroxiphia pareola;Lepidothrix coronata;4.22461154;0.62578678;0.0275;-1.56066731;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.16
Aves;Aves;Tinamiformes;Brown Tinamou;2260.986328;3.354297936;Crypturellus obsoletus;Crypturellus cinnamomeus ;3.67773796;0.56558078;0.453;-0.3439018;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.12
Aves;Aves;Tinamiformes;Brown Tinamou;2239.453125;3.350141976;Crypturellus obsoletus;Crypturellus cinnamomeus ;3.80743311;0.58063228;0.453;-0.3439018;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.13
Aves;Aves;Tinamiformes;Brown Tinamou;2282.519531;3.358414502;Crypturellus obsoletus;Crypturellus cinnamomeus ;3.5524607;0.55052928;0.453;-0.3439018;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.14
Aves;Aves;Tinamiformes;Brown Tinamou;2304.052734;3.362492415;Crypturellus obsoletus;Crypturellus cinnamomeus ;3.43145085;0.53547778;0.453;-0.3439018;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.15
Aves;Aves;Tinamiformes;Brown Tinamou;2196.386719;3.341708809;Crypturellus obsoletus;Crypturellus cinnamomeus ;3.5524607;0.55052928;0.453;-0.3439018;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.16
Aves;Aves;Passeriformes;Cape Penduline Tit;6395.361328;3.805865086;Anthoscopus minutus;Anthoscopus minutus;2.42640217;0.38496279;0.00675;-2.17069623;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.17
Aves;Aves;Passeriformes;Cape Penduline Tit;5835.498047;3.766077928;Anthoscopus minutus;Anthoscopus minutus;2.34375;0.36991129;0.00675;-2.17069623;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.18
Aves;Aves;Passeriformes;Cape Penduline Tit;4715.771484;3.673552752;Anthoscopus minutus;Anthoscopus minutus;2.69226177;0.43011728;0.00675;-2.17069623;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.19
Aves;Aves;Passeriformes;Cape Penduline Tit;5124.902344;3.709685594;Anthoscopus minutus;Anthoscopus minutus;2.51196905;0.40001429;0.00675;-2.17069623;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.20
Aves;Aves;Passeriformes;Cape Penduline Tit;6524.560547;3.814551266;Anthoscopus minutus;Anthoscopus minutus;2.88549472;0.46022028;0.00675;-2.17069623;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.21
Aves;Aves;Trogoniformes;Collared Trogon;1550.390625;3.190441134;Trogon collaris;Trogonmelanurus;2.51196905;0.40001429;0.0555;-1.25570702;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.22
Aves;Aves;Trogoniformes;Collared Trogon;1464.257813;3.16561755;Trogon collaris;Trogonmelanurus;2.51196905;0.40001429;0.0555;-1.25570702;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.23
Aves;Aves;Trogoniformes;Collared Trogon;1466.36783;3.166242924;Trogon collaris;Trogonmelanurus;2.51196905;0.40001429;0.0555;-1.25570702;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.24
Aves;Aves;Trogoniformes;Collared Trogon;1475.7458;3.169011556;Trogon collaris;Trogonmelanurus;2.78720418;0.44516878;0.0555;-1.25570702;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.25
Aves;Aves;Trogoniformes;Collared Trogon;1636.523438;3.21392223;Trogon collaris;Trogonmelanurus;3.67773796;0.56558078;0.0555;-1.25570702;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.26
Aves;Aves;Nyctibiiformes;Common Potoo;904.3945313;2.956357928;Nyctibius griseus;Nyctibius griseus;1.54629833;0.18929329;0.344;-0.46344156;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.27
Aves;Aves;Nyctibiiformes;Common Potoo;1162.792969;3.065502397;Nyctibius griseus;Nyctibius griseus;2.18679607;0.33980829;0.344;-0.46344156;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.28
Aves;Aves;Nyctibiiformes;Common Potoo;968.9941406;2.986321151;Nyctibius griseus;Nyctibius griseus;1.77623035;0.24949929;0.344;-0.46344156;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.29
Aves;Aves;Nyctibiiformes;Common Potoo;861.328125;2.935168628;Nyctibius griseus;Nyctibius griseus;1.44274736;0.15919029;0.344;-0.46344156;Semi-Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.30
Aves;Aves;Nyctibiiformes;Common Potoo;1076.660156;3.032078641;Nyctibius griseus;Nyctibius griseus;1.90371655;0.27960229;0.344;-0.46344156;Semi-Closed;No;No;2;0.301029996;;;
Aves;Aves;Leptosomiformes;Cuckoo Roller;1808.789063;3.257387923;Leptosomus discolor;Merops viridis;1.44274736;0.15919029;0.231;-0.63638802;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.30
Aves;Aves;Leptosomiformes;Cuckoo Roller;1894.921875;3.277591309;Leptosomus discolor;Merops viridis;1.25598453;0.09898429;0.231;-0.63638802;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.31
Aves;Aves;Leptosomiformes;Cuckoo Roller;2067.1875;3.31537987;Leptosomus discolor;Merops viridis;1.39360209;0.14413879;0.231;-0.63638802;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.32
Aves;Aves;Leptosomiformes;Cuckoo Roller;2067.1875;3.31537987;Leptosomus discolor;Merops viridis;1.39360209;0.14413879;0.231;-0.63638802;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.33
Aves;Aves;Leptosomiformes;Cuckoo Roller;1808.789063;3.257387923;Leptosomus discolor;Merops viridis;1.09339804;0.03877829;0.231;-0.63638802;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.34
Aves;Aves;Passeriformes;Eastern Crowned Warbler;3617.578125;3.558417919;Phylloscopus coronatus;Phylloscopustrochilus;2.88549472;0.46022028;0.00925;-2.03385827;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.04
Aves;Aves;Passeriformes;Eastern Crowned Warbler;3100.78125;3.491471129;Phylloscopus coronatus;Phylloscopustrochilus;2.88549472;0.46022028;0.00925;-2.03385827;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.05
Aves;Aves;Passeriformes;Eastern Crowned Warbler;3100.78125;3.491471129;Phylloscopus coronatus;Phylloscopustrochilus;2.69226177;0.43011728;0.00925;-2.03385827;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.06
Aves;Aves;Passeriformes;Eastern Crowned Warbler;2756.25;3.440318607;Phylloscopus coronatus;Phylloscopustrochilus;5.2011069;0.71609578;0.00925;-2.03385827;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.07
Aves;Aves;Passeriformes;Eastern Crowned Warbler;3014.648438;3.479236673;Phylloscopus coronatus;Phylloscopustrochilus;2.42640217;0.38496279;0.00925;-2.03385827;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.08
Aves;Aves;Casuariiformes;Emu;;;Dromaius novaehollandiae;Dromaius novaehollandiae;7.10492141;0.85155928;42.5;1.62838893;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.09
Aves;Aves;Casuariiformes;Emu;;;Dromaius novaehollandiae;Dromaius novaehollandiae;0.85786271;-0.06658221;42.5;1.62838893;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.10
Aves;Aves;Casuariiformes;Emu;;;Dromaius novaehollandiae;Dromaius novaehollandiae;2.78720418;0.44516878;42.5;1.62838893;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.11
Aves;Aves;Casuariiformes;Emu;;;Dromaius novaehollandiae;Dromaius novaehollandiae;1.02017644;0.00867529;42.5;1.62838893;Closed;No;No;2;0.301029996;;;Turner. D. A. and G. M. Kirwan (2020) version 1.0. In Birds of the World (J. del Hoyo. A. Elliott. J. Sargatal. D. A. Christie. and E. de Juana. Editors). Cornell Lab of Ornithology. Ithaca. NY. USA.ÿhttps://doi.org/10.2173/bow.grbtur1.12
